formule a recommendé;allegation;theme
menthe poivrée ;J'ai des difficultés à me concentrer.;Mémoire et concentration
Romarin + Menthe poivrée;J'ai des difficultés à me concentrer.;Mémoire et concentration
Théanine;J'ai des difficultés à me concentrer.;Mémoire et concentration
Acides gras oméga-3 (DHA/EPA);J'ai des trous de mémoire.;Mémoire et concentration
Phosphatidylsérine;J'ai des trous de mémoire.;Mémoire et concentration
Ginkgo biloba;J'ai des trous de mémoire.;Mémoire et concentration
Vitamine B12;J'ai des trous de mémoire.;Mémoire et concentration
Magnésium;J'ai des trous de mémoire.;Mémoire et concentration
Lécithine;J'ai des trous de mémoire.;Mémoire et concentration
Vitamines du groupe B (B1, B2, B3, B5, B6, B9, B12);Je me sens mentalement fatigué.;Mémoire et concentration
Magnésium;Je me sens mentalement fatigué.;Mémoire et concentration
Ginseng;Je me sens mentalement fatigué.;Mémoire et concentration
Rhodiola rosea;Je me sens mentalement fatigué.;Mémoire et concentration
L-théanine;Je me sens mentalement fatigué.;Mémoire et concentration
menthe poivrée ;Je me sens mentalement fatigué.;Mémoire et concentration
Romarin;Je me sens mentalement fatigué.;Mémoire et concentration
Acides gras oméga-3 (DHA/EPA);J'ai du mal à apprendre de nouvelles choses.;Mémoire et concentration
Phosphatidylsérine;J'ai du mal à apprendre de nouvelles choses.;Mémoire et concentration
Ginkgo biloba;J'ai du mal à apprendre de nouvelles choses.;Mémoire et concentration
Bacopa monnieri;J'ai du mal à apprendre de nouvelles choses.;Mémoire et concentration
Vitamine E;J'ai du mal à apprendre de nouvelles choses.;Mémoire et concentration
Lécithine;J'ai du mal à apprendre de nouvelles choses.;Mémoire et concentration
Caféine;Je suis facilement distrait;Mémoire et concentration
Rhodiola rosea;Je suis facilement distrait;Mémoire et concentration
Bacopa monnieri;Je suis facilement distrait;Mémoire et concentration
Ginkgo biloba;Je suis facilement distrait;Mémoire et concentration
L-théanine;Je suis facilement distrait;Mémoire et concentration
Magnésium;J'ai souvent des maux de tête et des migraines;Maux de tête pont 
coenzyme Q10;J'ai souvent des maux de tête et des migraines;Maux de tête pont 
riboflavine (vitamine B2);J'ai souvent des maux de tête et des migraines;Maux de tête pont 
grande camomille;J'ai souvent des maux de tête et des migraines;Maux de tête pont 
partenelle;J'ai souvent des maux de tête et des migraines;Maux de tête pont 
curcuma;J'ai souvent des maux de tête et des migraines;Maux de tête pont 
griffonia simplicifolia;J'ai souvent des maux de tête et des migraines;Maux de tête pont 
Petasite;J'ai souvent des maux de tête et des migraines;Maux de tête pont 
Magnésium;Mes maux de tête sont très intenses.;Maux de tête
coenzyme Q10;Mes maux de tête sont très intenses.;Maux de tête
riboflavine (vitamine B2);Mes maux de tête sont très intenses.;Maux de tête
gingembre;Mes maux de tête sont très intenses.;Maux de tête
grande camomille;Mes maux de tête sont très intenses.;Maux de tête
curcuma;Mes maux de tête sont très intenses.;Maux de tête
Magnésium;Mes maux de tête sont liés à mes règles ou à mes hormones.;Maux de tête
vitamine b6;Mes maux de tête sont liés à mes règles ou à mes hormones.;Maux de tête
grande camomille;Mes maux de tête sont liés à mes règles ou à mes hormones.;Maux de tête
gattilier;Mes maux de tête sont liés à mes règles ou à mes hormones.;Maux de tête
huile d'onagre;Mes maux de tête sont liés à mes règles ou à mes hormones.;Maux de tête
Gingembre;Mes maux de tête s'accompagnent de nausées et de vomissements.;Maux de tête
menthe poivrée ;Mes maux de tête s'accompagnent de nausées et de vomissements.;Maux de tête
grande camomille;Mes maux de tête s'accompagnent de nausées et de vomissements.;Maux de tête
coenzyme Q10;Mes maux de tête s'accompagnent de nausées et de vomissements.;Maux de tête
melatonine;Mes maux de tête s'accompagnent de nausées et de vomissements.;Maux de tête
Rhodiola;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
ashwagandha;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
thé vert;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
magnesium;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
reishi;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
Schisandra;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
vitamine c ;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
ginseng siberien;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
Basilic sacré (Tulsi);"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
Eleuthérocoque;"""Je me sens dépassé(e) et épuisé(e) par le stress."" (==> stress ) ";Psychique Antistress et adaptogènes
Valériane;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Camomille;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Lavande;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
L-théanine;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Passiflore;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Griffonia simplicifolia (5-HTP);Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Mélatonine;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Kava;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Mélisse;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Aubépine;Je suis anxieux(se), agité(e) et j'ai du mal à me détendre. (==> stress);Psychique Relaxants et anxiolytiques
Ginseng;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
Tyrosine;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
Vitamine B1 (thiamine);"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
fer;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
cafeine;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
guarana;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
maca;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
rhodiola;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
ginkgo biloba;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
coenzyme Q10;"""Je suis fatigué(e) et inhibé(e) et je manque de motivation."" ";Psychique Stimulants et énergisants
Curcuma;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
selenium;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
chrome;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
probiotique;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
vitamine e;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
complexe B;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
Magnesuim zinc;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
zinc;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
Vimatine D;Je me sens facilement irritable et j'ai des sautes d'humeur.;Psychique Bien-être général et équilibre émotionnel
Safran;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Millepertuis;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Zinc;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Vitamines B (B6, B9, B12);Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Vitamine D;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Acides gras oméga-3;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
SAMe;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Griffonia simplicifolia (5-HTP);Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Rhodiola;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Curcuma,;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
vitamine b1;Je me sens triste, démotivé(e) et j'ai perdu l'intérêt pour les choses qui me plaisaient.;Psychique Anti-déprime et régulateurs de l'humeur
Mélatonine;J'ai du mal à m'endormir. ( ==> vu ) (==> stress );Sommeil
magnesium;J'ai du mal à m'endormir. ( ==> vu ) (==> stress );Sommeil
valériane;J'ai du mal à m'endormir. ( ==> vu ) (==> stress );Sommeil
passiflore;J'ai du mal à m'endormir. ( ==> vu ) (==> stress );Sommeil
L-theanine ;J'ai du mal à m'endormir. ( ==> vu ) (==> stress );Sommeil
Magnésium;Je me réveille fatigué(e) malgré une nuit complète de sommeil. (==> psychique );Sommeil
vitamine B6;Je me réveille fatigué(e) malgré une nuit complète de sommeil. (==> psychique );Sommeil
mélatonine;Je me réveille fatigué(e) malgré une nuit complète de sommeil. (==> psychique );Sommeil
valériane;Je me réveille fatigué(e) malgré une nuit complète de sommeil. (==> psychique );Sommeil
passiflore;Je me réveille fatigué(e) malgré une nuit complète de sommeil. (==> psychique );Sommeil
Mélisse + Lavande ;Je me réveille fatigué(e) malgré une nuit complète de sommeil. (==> psychique );Sommeil
magnesium;Je ronfle ou j'ai parfois une apnée du sommeil.;Sommeil
passiflore;Je ronfle ou j'ai parfois une apnée du sommeil.;Sommeil
L-théanine;Je ronfle ou j'ai parfois une apnée du sommeil.;Sommeil
Menthe poivrée (Mentha piperita);Je ronfle ou j'ai parfois une apnée du sommeil.;Sommeil
Eucalyptus (Eucalyptus globulus);Je ronfle ou j'ai parfois une apnée du sommeil.;Sommeil
Ortie (Urtica dioica);Je ronfle ou j'ai parfois une apnée du sommeil.;Sommeil
Coenzyme Q10;Je ronfle ou j'ai parfois une apnée du sommeil.;Sommeil
Vitamine D;Je ronfle ou j'ai parfois une apnée du sommeil.;Sommeil
Mélatonine;Je me réveille souvent la nuit.;Sommeil
magnesium;Je me réveille souvent la nuit.;Sommeil
griffonia;Je me réveille souvent la nuit.;Sommeil
safran;Je me réveille souvent la nuit.;Sommeil
valeriane;Je me réveille souvent la nuit.;Sommeil
passiflore;Je me réveille souvent la nuit.;Sommeil
Magnésium;Mon sommeil est léger et agité. ;Sommeil
melatonine ;Mon sommeil est léger et agité. ;Sommeil
plante a gaba;Mon sommeil est léger et agité. ;Sommeil
L-theanine ;Mon sommeil est léger et agité. ;Sommeil
passiflore;Mon sommeil est léger et agité. ;Sommeil
Vitamines du groupe B;Je me sens somnolent pendant la journée. (==> energie );Sommeil
magnesium;Je me sens somnolent pendant la journée. (==> energie );Sommeil
fer;Je me sens somnolent pendant la journée. (==> energie );Sommeil
ginseng;Je me sens somnolent pendant la journée. (==> energie );Sommeil
rhodiola;Je me sens somnolent pendant la journée. (==> energie );Sommeil
magnésium;J'ai des crampes musculaires le matin et des douleurs nocturnes.;Sommeil
Valériane + Camomille;J'ai des crampes musculaires le matin et des douleurs nocturnes.;Sommeil
